1	1000125	90
1	1006373	100
1	1006978	90
1	1007035	100
1	1007098	100
1	1007723	255
1	1008659	100
1	1008916	100
1	1012809	70
1	1014635	100
1	1016419	100
1	1016470	100
1	1016522	100
1	1016885	100
1	1017874	100
1	1017881	100
1	1019512	100
1	1019522	100
1	1020524	100
1	1020560	100
1	1020778	100
1	1021623	100
1	1024006	100
1	1024015	100
1	1024496	100
1	1024635	100
1	1024759	100
1	1029612	100
1	1033451	100
1	1034801	100
1	1036157	90
1	1037847	100
1	1041557	90
1	1042768	100
1	1043712	100
1	1045024	100
1	1045525	100
1	1047584	100
1	1053507	90
1	1098798	90
2	1004623	0
2	1018143	0
2	1040071	90
2	1053438	90
2	1098087	90
2	1098636	90
3	1006316	90
4	1000335	0
4	1002815	0
4	1008451	0
4	1009352	70
4	1009453	0
4	1011846	0
4	1014252	0
4	1014635	50
4	1015272	0
4	1019512	90
4	1019857	0
4	1021676	0
4	1021815	0
4	1021912	0
4	1022226	30
4	1022925	0
4	1026581	0
4	1027634	0
4	1030727	0
4	1030811	90
4	1034801	90
4	1041052	0
4	1042272	90
4	1042768	70
4	1043833	90
4	1044871	90
4	1045021	90
4	1045191	0
4	1049897	0
4	1051787	90
4	1053507	70
4	1058980	90
4	1082975	0
4	1098270	30
4	1098329	30
4	1098798	30
4	1099394	0
5	1000026	90
5	1000125	90
5	1002404	90
5	1003454	90
5	1004095	0
5	1006389	100
5	1007723	0
5	1010065	90
5	1010309	100
5	1010787	0
5	1012011	90
5	1012920	100
5	1013012	0
5	1013025	100
5	1013213	0
5	1013384	0
